tweets,status
"Segun el informe de la Coordinacion de Salud, en la Zona 6 existen 1 247 casos positivos de COVID-19, Azuay 819 con ,""""",negativo
"🔴 #ÚltimaHora | Se registran 41575 casos confirmados de #coronavirus en #Ecuador, corte del 4 de junio de 2020. ⚠️ 🇪🇨🦠 https://t.co/uQfIOPqqfn",negativo
"Mapa del coronavirus en el mundo EN VIVO, HOY martes 2 de junio de 2020: número actualizado de muertos e infectados 
https://t.co/HrAlUqZ0pb",negativo
"A nivel nacional (38,571) infectados con #Covid19 https://t.co/5bSRplixix",negativo
" @PJimenezN @JulietaSagnay Volvieron alimenta a otra holgazana mereteiz de alta alcurnia que nunca demostró solidaridad En tiempo de dolor del covid19 En Guayaquil
  la JUNTA de BENEFICENCIA es la más grande ESPECULADORA de la salud y la miseria humana del Ecuador",positivo
RT @pichinchauniver: 📰#Nacionales | Familiares de médicos y enfermeras que han fallecido contagiados de Covid-19 en hospitales exigen al Es…,negativo
"2028 en Manabí. Tiempos de #Coronavirus Ecuador 🇪🇨 
#RegresoAClases https://t.co/vjeY9M0hei",negativo
"RT @ANCecuador: #ACTUALIZACIÓN | #CoronavirusEc  Estos son los datos por cantones y parroquias de #Cotopaxi, #Latacunga, hasta el momento e…",negativo
"Desde el 3 de junio de 2020, el transporte público en #Quito operará de nuevo. » https://t.co/fj4JSPVpg9 https://t.co/p0N261Cg6w",positivo
"📌 El aeropuerto de la capital ecuatoriana 🇪🇨, Quito, reabrió este lunes sus operaciones comerciales, que estuvieron suspendidas durante 75 días, en el marco de la emergencia sanitaria declarada por la pandemia del coronavirus.",negativo
.@LDU_Oficial realiza pruebas de coronavirus al plantel profesional https://t.co/NAYnCXiIFP,positivo
"Dediquemos un Momento para Orar por todas las Personas Fallecidas por esta Horrible Enfermedad llamada COVID-19 (( ,""""",positivo
🔴 | ATENCIÓN: Hay 3.534 víctimas mortales por Covid-19 en Ecuador. - Detalles aquí: ⬇ https://t.co/qmMpOYwMx6,negativo
"Más casos por coronavirus latinoamérica: 2.- Brasil 618.554 9.- Perú 183.198 13.- Chile 118.292 14.- México 105.680 25.- 
Ecuador 40.966 29.- Colombia 35.120 39.- Argentina 20.197 42.- República Dominicana 18.319 47.- Panamá 15.044 50.- Bolivia 12.245 68.- Guatemala 6.154",negativo
"Tomen nota , esto está pasando en el Amazonas del Brasil seguramente si sumamos lo que sucede en Perú, Colombia , Venezuela y Ecuador las cifras de 
incrementarán https://t.co/5seGCLM0Lz",negativo
